timestamp (in IST),coin_gecko_id,symbol,name,price_in_usd,market_cap,24h_trade_volume
2022-02-22 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,23.81989684344899,6925185222.461134,691016888.3835258
2022-02-23 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.848205422402017,7181622418.21377,559220705.6952095
2022-02-24 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,25.313447717424935,7335448412.069629,615704052.9006511
2022-02-25 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.965540501342506,7208090750.820684,1083238213.3602388
2022-02-26 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.310441566733804,7883875512.960071,703250018.2280912
2022-02-27 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.791537940633134,8540384062.716004,852713487.436738
2022-02-28 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.803174809105908,7718393712.63978,714853291.9779042
2022-03-01 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,31.49536230530685,9074717560.617199,1122205919.3365817
2022-03-02 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,31.136687643117885,9003272690.323544,1141368275.0290573
2022-03-03 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,32.27560276787394,9357629734.312382,1128957735.960252
2022-03-04 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,34.13387946727023,9896396340.758757,1499747866.1529589
2022-03-05 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.52546756732509,8857879463.202225,1328296503.0944788
2022-03-06 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,31.056957533739727,8998488384.201626,854303514.1329998
2022-03-07 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.166506287410538,8153026711.874391,766714229.6423701
2022-03-08 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.445231864383516,8271207452.623494,1072690984.5627542
2022-03-09 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.826715361769693,8071257260.61559,928971967.2677402
2022-03-10 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.084405612411018,8762155587.269901,1068115361.711862
2022-03-11 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.063014135403797,8128920115.446775,860617743.664441
2022-03-12 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.607859386212986,8063886971.231029,631816762.4575917
2022-03-13 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.23322808879681,7921451880.881991,312298850.4084889
2022-03-14 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.335014089685696,7628630743.825802,374662811.1049972
2022-03-15 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.850521609597436,7766754552.452135,489352851.8207774
2022-03-16 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.864328415179504,7816748357.167922,621667628.3883834
2022-03-17 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.9808703952671,8412317099.915634,799852092.900093
2022-03-18 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.20897690174535,8196983676.289509,463368711.75351083
2022-03-19 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.721085430278922,8348695844.792981,553792442.89668
2022-03-20 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.640433718932396,8326422180.784453,523122086.40907407
2022-03-21 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.78939032127448,8072240447.253557,367837431.8419318
2022-03-22 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.986556801358628,8138267484.686255,439949243.16796017
2022-03-23 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.03162167585189,8157876830.086418,609909242.8441608
2022-03-24 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.160676792176393,8190257673.878925,581100232.8564737
2022-03-25 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.04275570215314,8472819923.10294,722426916.648379
2022-03-26 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.127654834499385,8198810157.566358,746876362.8226403
2022-03-27 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.78864456592862,8405661740.905608,362993311.62710935
2022-03-28 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.76873478950538,8659657391.170542,439105371.3702862
2022-03-29 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.358371179439903,8555846760.712072,927059246.4714594
2022-03-30 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.225754587846527,8793673815.033918,1038304149.4340917
2022-03-31 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.210380781681472,8835687470.907724,814255959.1717668
2022-04-01 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.864659032330586,8398321716.624898,948418250.7070451
2022-04-02 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.37572480046033,8547292475.0146265,631319774.6835536
2022-04-03 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,31.356491359195907,9226831836.498602,1170802439.4499764
2022-04-04 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,31.93009046024804,9326112852.481503,1239082572.64282
2022-04-05 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.86084791955907,9008278077.978203,832968859.7147053
2022-04-06 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.337570499612795,8619268358.278814,701567734.9680007
2022-04-07 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.85019606893456,7876472319.348237,790400873.5993377
2022-04-08 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.801470429219854,8124195282.470744,504727052.2888171
2022-04-09 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.8488833545748,7826780881.97016,634482423.0087627
2022-04-10 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.30296609583466,7977745097.766384,329646161.2216283
2022-04-11 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.65897717746872,7844523395.245529,276955367.83937067
2022-04-12 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,23.80180497844765,6967798833.094855,596854103.0674529
2022-04-13 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.752463363691003,7235814270.291083,482596690.77117693
2022-04-14 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.739846994247326,7242121311.090066,366903570.79059124
2022-04-15 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,23.991448077230103,7034354729.808087,507702491.0368722
2022-04-16 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.1416992137109,7066721144.760779,368846044.0795669
2022-04-17 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.225860522405302,7112479974.129501,227813618.95402214
2022-04-18 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,23.274634857234446,6792155406.364391,256687227.65470785
2022-04-19 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.09412100873218,7042491989.699666,470749711.8989012
2022-04-20 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.666264870812956,7216591550.4517145,360902104.27146566
2022-04-21 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,24.304714388793236,7111061403.206443,367312958.6122649
2022-04-22 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,23.327806568173987,6821431917.371529,413752862.71090996
2022-04-23 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,23.08887592888991,6754696484.953549,369498466.841669
2022-04-24 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,23.289780251122103,6811441486.137841,237764767.63717678
2022-04-25 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,22.331863906347955,6552225345.401548,276428258.64564663
2022-04-26 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,22.136512640942602,6473332808.798968,503630285.15025556
2022-04-27 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,20.291362965207174,5924437397.931639,431050455.1697702
2022-04-28 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,21.499448319620793,6331149685.62284,518400640.2476987
2022-04-29 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,20.71357052781684,6058274286.965374,439602905.0351168
2022-04-30 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,19.464151149928878,5707737894.534064,413137277.87369996
2022-05-01 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,17.94492804748787,5198113065.780173,432945158.94717866
2022-05-02 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,18.034929424243167,5277767911.72881,441921775.2098256
2022-05-03 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,17.820119396693467,5228919206.3100395,455216139.3420978
2022-05-04 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,17.597763694661428,5188900562.637601,421791010.6837686
2022-05-05 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,19.920751461242876,5805524349.163953,523532304.7480607
2022-05-06 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,17.845468223833112,5229684891.33683,591631400.9382626
2022-05-07 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,17.735623435921866,5183781530.002381,426567613.14503425
2022-05-08 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,16.500162673032357,4845566551.434993,423270967.02185416
2022-05-09 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,15.679438161116833,4587243330.680374,399018329.29989755
2022-05-10 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,12.803219382752573,3810368897.1075,712832649.5274061
2022-05-11 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,13.606189676683966,3967896108.8202033,1112667425.4901443
2022-05-12 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.846331838870803,3030690042.9002733,1554063950.911252
2022-05-13 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.750761337183734,2871519171.6429877,1100844210.94981
2022-05-14 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.268148476649134,3007677543.520105,773482662.7702191
2022-05-15 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.875108834884555,3180922373.0715194,372609485.1137835
2022-05-16 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,12.358513197583822,3601404838.118223,404530498.93528867
2022-05-17 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.029544721934714,3221913028.948552,462513994.3105876
2022-05-18 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.512529977626254,3367196805.5405564,305743229.7582916
2022-05-19 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.092025779383134,2955905115.1763616,307618847.3406155
2022-05-20 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.933543144286697,3198706969.8475533,261862853.19297746
2022-05-21 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.21584071663337,3276383150.026578,630885516.7210392
2022-05-22 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.097537750900084,3251837829.0336657,242569275.4858054
2022-05-23 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.427119100888095,3350891305.056756,211664201.20538068
2022-05-24 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.15528957041135,3271636885.217633,353268545.21124524
2022-05-25 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.087887574714992,3244162490.435663,290963561.6773986
2022-05-26 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.724796513340301,3137283867.40726,237133528.94932026
2022-05-27 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.677480188004255,2822983292.331077,392659295.49989647
2022-05-28 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.257783714084054,2706579854.565726,306339118.4238666
2022-05-29 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.442714065846443,2783399488.789608,193441554.654551
2022-05-30 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.607657645645652,2813422928.54965,169861514.8036803
2022-05-31 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.517151461958886,3075181832.947053,270770216.97595257
2022-06-01 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.306355523464724,3015497025.652166,286302365.60592186
2022-06-02 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.373625169280452,2751141755.3717546,272279375.2184616
2022-06-03 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.639776382115162,2823079285.850751,196912648.57243097
2022-06-04 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.182193902444377,2679504116.979261,190877476.96322063
2022-06-05 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.253761392292168,2692136335.117142,125161837.69902304
2022-06-06 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.178199282302264,2696575701.40232,112066592.84639306
2022-06-07 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.468175608629252,2772685767.7011065,195585527.12483895
2022-06-08 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.254634525931989,2718692905.7567124,311324550.3612663
2022-06-09 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.77538387761778,2567555904.8652463,228871158.87901145
2022-06-10 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.783435054401268,2571784294.3070498,210605178.6235538
2022-06-11 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.096522314093383,2369306585.9919844,248267650.0268061
2022-06-12 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.53702075187,2204026961.6151247,205481816.7815229
2022-06-13 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.134213352669133,2105090453.5564938,282185815.3123427
2022-06-14 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,6.465381924737691,1867660252.4267676,421670588.4631041
2022-06-15 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,6.379412037332482,1864865035.1979265,288704105.6505386
2022-06-16 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.311760528428805,2128248285.546628,429540210.1185564
